"TimeInt";"TimeStr";"B_MASA1";"B_MASA2";"B_MASA_3";"B_MASA_4";"CAUDAL_1";"CAUDAL_2";"CAUDAL_ACUMUL.1";"CAUDAL_ACUMUL.2";"DECANTER";"DEC_HORAS_PARCIAL";"DEC_HORAS_TOTAL";"INT_MD";"PAR_BD";"RPM_BD";"RPM_DIF";"RPM_MD";"T_ROD_ALIM";"T_ROD_SAL";"VIBRAC"
1713292395;"16/04/2024 18:33:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.375;28.125;0.1953125
1713292455;"16/04/2024 18:34:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713292515;"16/04/2024 18:35:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2148438
1713292575;"16/04/2024 18:36:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713292635;"16/04/2024 18:37:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713292695;"16/04/2024 18:38:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713292756;"16/04/2024 18:39:16";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.375;28.125;0.1757812
1713292816;"16/04/2024 18:40:16";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713292875;"16/04/2024 18:41:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.375;28.125;0.15625
1713292935;"16/04/2024 18:42:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.2148438
1713292995;"16/04/2024 18:43:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.375;28;0.1757812
1713293055;"16/04/2024 18:44:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713293115;"16/04/2024 18:45:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713293175;"16/04/2024 18:46:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2246094
1713293235;"16/04/2024 18:47:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713293295;"16/04/2024 18:48:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713293355;"16/04/2024 18:49:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713293415;"16/04/2024 18:50:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713293475;"16/04/2024 18:51:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713293535;"16/04/2024 18:52:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713293595;"16/04/2024 18:53:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713293655;"16/04/2024 18:54:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713293716;"16/04/2024 18:55:16";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713293775;"16/04/2024 18:56:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713293835;"16/04/2024 18:57:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713293895;"16/04/2024 18:58:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
